"code","id","name","sign","notprintable","parent_id:id"
"root","atctn_root","IMPUESTOS",1,,
,"atctn_tb_iva_15_v","TOTAL BASE – IVA 15% SOBRE VENTAS",1,,"atctn_root"
,"atctn_tv_iva_15_v","TOTAL VALOR – IVA 15% SOBRE VENTAS",1,,"atctn_root"
,"atctn_v_iva_15_v","VALOR â€“ IVA 15% SOBRE VENTAS",1,,"atctn_tv_iva_15_v"
,"atctn_b_iva_15_v","BASE â€“ IVA 15% SOBRE VENTAS",1,,"atctn_tb_iva_15_v"
,"atctn_dv_iva_15_v","DEVOLUCION VALOR – IVA 15% SOBRE VENTAS",1,,"atctn_tv_iva_15_v"
,"atctn_db_iva_15_v","DEVOLUCION BASE â€“ IVA 15% SOBRE VENTAS",1,,"atctn_tb_iva_15_v"
,"atctn_tb_retencion_ir_2_","TOTAL BASE – RETENCION IR 2%",1,,"atctn_root"
,"atctn_tv_retencion_ir_2_","TOTAL VALOR – RETENCION IR 2%",1,,"atctn_root"
,"atctn_v_retencion_ir_2_","VALOR â€“ RETENCION IR 2%",1,,"atctn_tv_retencion_ir_2_"
,"atctn_b_retencion_ir_2_","BASE â€“ RETENCION IR 2%",1,,"atctn_tb_retencion_ir_2_"
,"atctn_dv_retencion_ir_2_","DEVOLUCION VALOR â€“ RETENCION IR 2%",1,,"atctn_tv_retencion_ir_2_"
,"atctn_db_retencion_ir_2_","DEVOLUCION BASE â€“ RETENCION IR 2%",1,,"atctn_tb_retencion_ir_2_"
,"atctn_tb_retencion_ir_10_sp","TOTAL BASE – RETENCION IR 10% SERVICIOS PROFESIONALES",1,,"atctn_root"
,"atctn_tv_retencion_ir_10_sp","TOTAL VALOR – RETENCION IR 10% SERVICIOS PROFESIONALES",1,,"atctn_root"
,"atctn_v_retencion_ir_10_sp","VALOR â€“ RETENCION IR 10% SERVICIOS PROFESIONALES",1,,"atctn_tv_retencion_ir_10_sp"
,"atctn_b_retencion_ir_10_sp","BASE â€“ RETENCION IR 10% SERVICIOS PROFESIONALES",1,,"atctn_tb_retencion_ir_10_sp"
,"atctn_dv_retencion_ir_10_sp","DEVOLUCION VALOR â€“ RETENCION IR 10% SERVICIOS PROFESIONALES",1,,"atctn_tv_retencion_ir_10_sp"
,"atctn_db_retencion_ir_10_sp","DEVOLUCION BASE â€“ RETENCION IR 10% SERVICIOS PROFESIONALES",1,,"atctn_tb_retencion_ir_10_sp"
,"atctn_tb_retencion_ir_1_a","TOTAL BASE – RETENCION IR 1% ALCALDIA",1,,"atctn_root"
,"atctn_tv_retencion_ir_1_a","TOTAL VALOR – RETENCION IR 1% ALCALDIA",1,,"atctn_root"
,"atctn_v_retencion_ir_1_a","VALOR â€“ RETENCION IR 1% ALCALDIA",1,,"atctn_tv_retencion_ir_1_a"
,"atctn_b_retencion_ir_1_a","BASE â€“ RETENCION IR 1% ALCALDIA",1,,"atctn_tb_retencion_ir_1_a"
,"atctn_dv_retencion_ir_1_a","DEVOLUCION VALOR â€“ RETENCION IR 1% ALCALDIA",1,,"atctn_tv_retencion_ir_1_a"
,"atctn_db_retencion_ir_1_a","DEVOLUCION BASE â€“ RETENCION IR 1% ALCALDIA",1,,"atctn_tb_retencion_ir_1_a"
,"atctn_tb_retencion_ir_7_am","TOTAL BASE – RETENCION IR 7% ALQUILER MOBILIARIO",1,,"atctn_root"
,"atctn_tv_retencion_ir_7_am","TOTAL VALOR – RETENCION IR 7% ALQUILER MOBILIARIO",1,,"atctn_root"
,"atctn_v_retencion_ir_7_am","VALOR â€“ RETENCION IR 7% ALQUILER MOBILIARIO",1,,"atctn_tv_retencion_ir_7_am"
,"atctn_b_retencion_ir_7_am","BASE â€“ RETENCION IR 7% ALQUILER MOBILIARIO",1,,"atctn_tb_retencion_ir_7_am"
,"atctn_dv_retencion_ir_7_am","DEVOLUCION VALOR â€“ RETENCION IR 7% ALQUILER MOBILIARIO",1,,"atctn_tv_retencion_ir_7_am"
,"atctn_db_retencion_ir_7_am","DEVOLUCION BASE â€“ RETENCION IR 7% ALQUILER MOBILIARIO",1,,"atctn_tb_retencion_ir_7_am"
,"atctn_tb_retencion_ir_15_nr","TOTAL BASE – RETENCION IR 15% NO RESIDENCIAL",1,,"atctn_root"
